"annee";"CP_clean";"age_class";"N_RPU";"N_HCL";"part_HCL"
2019;"01450";"(64,79]";"128";"0";0
2019;"01450";"(79,Inf]";"159";"0";0
2019;"01450";NA;"0";"0";NA
2019;"01460";"[0,1]";"Anonymisé";"1-4";0.0163934426229508
2019;"01460";"(1,4]";"66";"0";0
2019;"01460";"(4,17]";"315";"0";0
2019;"01460";"(17,64]";"1176";"15";0.0127551020408163
2019;"01460";"(64,79]";"Anonymisé";"1-4";0.00381679389312977
2019;"01460";"(79,Inf]";"113";"0";0
2019;"01460";NA;"0";"0";NA
2019;"01470";"[0,1]";"Anonymisé";"1-4";0.0188679245283019
2019;"01470";"(1,4]";"Anonymisé";"1-4";0.0285714285714286
2019;"01470";"(4,17]";"Anonymisé";"1-4";0.0161290322580645
2019;"01470";"(17,64]";"517";"6";0.011605415860735
2019;"01470";"(64,79]";"Anonymisé";"1-4";0.008
2019;"01470";"(79,Inf]";"Anonymisé";"1-4";0.0212765957446809
2019;"01470";NA;"0";"0";NA
2019;"01480";"[0,1]";"Anonymisé";"1-4";0.00238663484486874
2019;"01480";"(1,4]";"Anonymisé";"1-4";0.00515463917525773
2019;"01480";"(4,17]";"1261";"7";0.00555114988104679
2019;"01480";"(17,64]";"3248";"49";0.0150862068965517
2019;"01480";"(64,79]";"668";"6";0.00898203592814371
2019;"01480";"(79,Inf]";"475";"0";0
2019;"01480";NA;"0";"0";NA
2019;"01500";"[0,1]";"435";"21";0.0482758620689655
2019;"01500";"(1,4]";"401";"7";0.0174563591022444
2019;"01500";"(4,17]";"1633";"37";0.0226576852418861
2019;"01500";"(17,64]";"5412";"88";0.016260162601626
2019;"01500";"(64,79]";"925";"17";0.0183783783783784
2019;"01500";"(79,Inf]";"Anonymisé";"1-4";0.00242424242424242
2019;"01500";NA;"0";"0";NA
2019;"01510";"[0,1]";"47";"0";0
2019;"01510";"(1,4]";"55";"0";0
2019;"01510";"(4,17]";"Anonymisé";"1-4";0.00584795321637427
2019;"01510";"(17,64]";"Anonymisé";"1-4";0.00636942675159236
2019;"01510";"(64,79]";"Anonymisé";"1-4";0.0115606936416185
2019;"01510";"(79,Inf]";"216";"0";0
2019;"01510";NA;"0";"0";NA
2019;"01540";"[0,1]";"Anonymisé";"1-4";0.0263157894736842
2019;"01540";"(1,4]";"Anonymisé";"1-4";0.0222222222222222
2019;"01540";"(4,17]";"179";"0";0
2019;"01540";"(17,64]";"511";"5";0.00978473581213307
2019;"01540";"(64,79]";"134";"0";0
2019;"01540";"(79,Inf]";"Anonymisé";"1-4";0.00943396226415094
