RegCode;DepCode;age_group;Year;n;n_HCL;Pop;p_HCL;catchment_HCL
84;42;5-17;2021;26769;145;125777,92123999546;0,005416713362471516;681,3029466845733
84;42;5-17;2022;28695;135;126101,61390305667;0,004704652378463147;593,2642577770571
84;42;5-17;2023;28286;145;125797,76079010085;0,005126210846355088;644,8658458093977
84;42;5-17;2024;29703;138;125621,21670676675;0,004645995354004646;583,6355891840491
84;42;18-64;2019;131908;974;426658,79607205186;0,007383934257209570;3150,4205004562159
84;42;18-64;2020;100842;715;426268,40400820400;0,007090299676722001;3022,3707271361723
84;42;18-64;2021;126275;954;426162,07876000454;0,007554939615917640;3219,6287716257716
84;42;18-64;2022;129834;1083;427302,38609694334;0,008341420583206248;3564,3089186421862
84;42;18-64;2023;129524;1101;427964,23920989915;0,008500355146536550;3637,8480233014652
84;42;18-64;2024;129820;1272;428685,78329323325;0,009798182098289939;4200,3413676551581
84;42;65-79;2019;15356;40;116248,00000000000;0,002604845011721803;302,8080229226361
84;42;65-79;2020;22073;62;118892,00000000000;0,002808861505006116;333,9511620531871
84;42;65-79;2021;18834;58;121055,00000000000;0,003079537007539556;372,7933524477010
84;42;65-79;2022;20053;44;123155,00000000000;0,002194185408667032;270,2249040043884
84;42;65-79;2023;19055;65;124987,00000000000;0,003411178168459722;426,3529257412753
84;42;65-79;2024;22554;74;126522,00000000000;0,003281014454198812;415,1205107741421
84;42;80+;2019;16561;17;55341,00000000000;0,001026508061107421;56,8079826097458
84;42;80+;2020;13673;6;56202,00000000000;0,000438821034154904;24,6626197615739
84;42;80+;2021;15891;0;54850,00000000000;0,000000000000000000;0,0000000000000
84;42;80+;2022;15544;11;54574,00000000000;0,000707668553782810;38,6203036541431
84;42;80+;2023;19537;10;54490,00000000000;0,000511849311562676;27,8906689870502
84;42;80+;2024;14032;8;55060,00000000000;0,000570125427594071;31,3911060433295
84;42;NA;2019;1;0;NA;0,000000000000000000;NA
84;42;NA;2020;0;0;NA;NA;NA
84;42;NA;2021;0;0;NA;NA;NA
84;42;NA;2022;1;0;NA;0,000000000000000000;NA
84;42;NA;2023;53;0;NA;0,000000000000000000;NA
84;42;NA;2024;4;0;NA;0,000000000000000000;NA
84;43;0-1;2019;1952;0;4130,54128172794;0,000000000000000000;0,0000000000000
84;43;0-1;2020;1390;0;4131,74698351268;0,000000000000000000;0,0000000000000
84;43;0-1;2021;2196;0;4008,99363964364;0,000000000000000000;0,0000000000000
84;43;0-1;2022;2789;0;4110,93165553551;0,000000000000000000;0,0000000000000
84;43;0-1;2023;1518;0;3997,73526819075;0,000000000000000000;0,0000000000000
84;43;0-1;2024;2075;0;3742,09307879034;0,000000000000000000;0,0000000000000
84;43;2-4;2019;1967;0;6631,45871827206;0,000000000000000000;0,0000000000000
84;43;2-4;2020;1422;0;6562,25301648732;0,000000000000000000;0,0000000000000
84;43;2-4;2021;1812;0;6347,00636035636;0,000000000000000000;0,0000000000000
84;43;2-4;2022;2118;0;6473,06834446449;0,000000000000000000;0,0000000000000
84;43;2-4;2023;1583;0;6277,26473180925;0,000000000000000000;0,0000000000000
84;43;2-4;2024;2241;0;6124,90692120966;0,000000000000000000;0,0000000000000
84;43;5-17;2019;6413;0;35345,38143138192;0,000000000000000000;0,0000000000000
84;43;5-17;2020;5049;0;34715,13192859136;0,000000000000000000;0,0000000000000
84;43;5-17;2021;4802;0;34400,26201315783;0,000000000000000000;0,0000000000000
84;43;5-17;2022;5412;0;34106,44750929778;0,000000000000000000;0,0000000000000
84;43;5-17;2023;3925;0;33998,47388054879;0,000000000000000000;0,0000000000000
84;43;5-17;2024;5183;0;34023,63816049643;0,000000000000000000;0,0000000000000
84;43;18-64;2019;14291;30;126303,61856861808;0,002099223287383668;265,1394973800673
84;43;18-64;2020;12410;12;125827,86807140865;0,000966962127316680;121,6707829860519
84;43;18-64;2021;14902;23;125123,73798684217;0,001543416991007918;193,1181031873151
84;43;18-64;2022;11762;35;125647,55249070222;0,002975684407413705;373,8874627762777
84;43;18-64;2023;17376;57;125036,52611945121;0,003280386740331492;410,1681623393600
84;43;18-64;2024;18600;61;124641,36183950357;0,003279569892473118;408,7700576456838
84;43;65-79;2019;6765;0;38013,00000000000;0,000000000000000000;0,0000000000000
84;43;65-79;2020;5309;0;38820,00000000000;0,000000000000000000;0,0000000000000
84;43;65-79;2021;6409;0;40052,00000000000;0,000000000000000000;0,0000000000000
84;43;65-79;2022;6630;0;41160,00000000000;0,000000000000000000;0,0000000000000
84;43;65-79;2023;6432;0;42295,00000000000;0,000000000000000000;0,0000000000000
84;43;65-79;2024;7203;0;43055,00000000000;0,000000000000000000;0,0000000000000
84;43;80+;2019;7934;0;17146,00000000000;0,000000000000000000;0,0000000000000
84;43;80+;2020;7257;0;17432,00000000000;0,000000000000000000;0,0000000000000
84;43;80+;2021;7450;0;17352,00000000000;0,000000000000000000;0,0000000000000
84;43;80+;2022;7824;0;16663,00000000000;0,000000000000000000;0,0000000000000
84;43;80+;2023;5717;0;16429,00000000000;0,000000000000000000;0,0000000000000
84;43;80+;2024;6468;0;16423,00000000000;0,000000000000000000;0,0000000000000
84;43;NA;2019;0;0;NA;NA;NA
84;43;NA;2020;0;0;NA;NA;NA
84;43;NA;2021;0;0;NA;NA;NA
84;43;NA;2022;1;0;NA;0,000000000000000000;NA
84;43;NA;2023;82;0;NA;0,000000000000000000;NA
84;43;NA;2024;0;0;NA;NA;NA
84;63;0-1;2019;5624;0;12701,35687011918;0,000000000000000000;0,0000000000000
84;63;0-1;2020;5237;0;12615,85321232836;0,000000000000000000;0,0000000000000
84;63;0-1;2021;4521;0;12606,88362964801;0,000000000000000000;0,0000000000000
84;63;0-1;2022;5664;0;12325,80358623997;0,000000000000000000;0,0000000000000
84;63;0-1;2023;3984;0;12088,91800661360;0,000000000000000000;0,0000000000000
84;63;0-1;2024;4824;0;11322,60959433319;0,000000000000000000;0,0000000000000
84;63;2-4;2019;6419;0;20391,64312988082;0,000000000000000000;0,0000000000000
84;63;2-4;2020;5772;0;20037,14678767164;0,000000000000000000;0,0000000000000
84;63;2-4;2021;6008;0;19959,11637035199;0,000000000000000000;0,0000000000000
84;63;2-4;2022;5392;0;19408,19641376003;0,000000000000000000;0,0000000000000
84;63;2-4;2023;6072;0;18982,08199338640;0,000000000000000000;0,0000000000000
84;63;2-4;2024;6172;0;18532,39040566681;0,000000000000000000;0,0000000000000
84;63;5-17;2019;19738;5;98640,44274908962;0,000253318471982977;24,9874462329237
84;63;5-17;2020;13225;0;99447,95778519419;0,000000000000000000;0,0000000000000
84;63;5-17;2021;13098;0;99515,23710140685;0,000000000000000000;0,0000000000000
84;63;5-17;2022;21852;5;99114,66808146378;0,000228812008054183;22,6786262313435
84;63;5-17;2023;13122;0;98710,80182703426;0,000000000000000000;0,0000000000000
84;63;5-17;2024;18354;22;98366,56730715925;0,001198648795902801;117,9069674598182
84;63;18-64;2019;52706;53;386460,55725091038;0,001005578112548856;388,6162777349495
84;63;18-64;2020;43835;30;383569,04221480578;0,000684384624158777;262,5087547951220
84;63;18-64;2021;52034;55;382664,76289859315;0,001057001191528616;404,4771103398283
84;63;18-64;2022;62374;84;383082,33191853622;0,001346714977394427;515,9027139698760
84;63;18-64;2023;39501;85;382635,19817296573;0,002151844257107415;823,3713537556540
84;63;18-64;2024;38516;68;382456,43269284075;0,001765500051926472;675,2268517788236
84;63;65-79;2019;18214;0;100654,00000000000;0,000000000000000000;0,0000000000000
84;63;65-79;2020;17186;0;102787,00000000000;0,000000000000000000;0,0000000000000
84;63;65-79;2021;13082;0;104815,00000000000;0,000000000000000000;0,0000000000000
84;63;65-79;2022;15352;0;107502,00000000000;0,000000000000000000;0,0000000000000
84;63;65-79;2023;13490;0;109090,00000000000;0,000000000000000000;0,0000000000000
84;63;65-79;2024;14553;0;110291,00000000000;0,000000000000000000;0,0000000000000
84;63;80+;2019;19484;0;43304,00000000000;0,000000000000000000;0,0000000000000
84;63;80+;2020;18159;0;43395,00000000000;0,000000000000000000;0,0000000000000
84;63;80+;2021;15729;0;42724,00000000000;0,000000000000000000;0,0000000000000
84;63;80+;2022;17809;0;42952,00000000000;0,000000000000000000;0,0000000000000
84;63;80+;2023;13294;0;42756,00000000000;0,000000000000000000;0,0000000000000
84;63;80+;2024;14138;0;43166,00000000000;0,000000000000000000;0,0000000000000
84;63;NA;2019;0;0;NA;NA;NA
84;63;NA;2020;0;0;NA;NA;NA
84;63;NA;2021;0;0;NA;NA;NA
84;63;NA;2022;0;0;NA;NA;NA
84;63;NA;2023;15330;0;NA;0,000000000000000000;NA
84;63;NA;2024;0;0;NA;NA;NA
84;69;0-1;2019;27786;18152;45689,26735360130;0,653278629525660404;29847,8219607921528
84;69;0-1;2020;20640;14359;44317,56477873778;0,695687984496124012;30831,1973186965006
84;69;0-1;2021;31946;22022;42825,31193310325;0,689350779440305539;29521,6621608589448
84;69;0-1;2022;32559;21948;41962,65337009540;0,674099327374919399;28286,9964116482006
84;69;0-1;2023;26995;18554;40864,44138375418;0,687312465271346595;28086,6399494045218
84;69;0-1;2024;27107;18446;38426,71074583915;0,680488434721658653;26148,9322469380277
84;69;2-4;2019;24594;14894;73352,73264639871;0,605594860535089818;44422,0378968635559
84;69;2-4;2020;17880;11359;70387,43522126222;0,635290827740492170;44716,4919842459494
84;69;2-4;2021;25070;16303;67800,68806689675;0,650299162345432835;44090,7306563469392
84;69;2-4;2022;27937;17765;66074,34662990461;0,635895049575831317;42016,3499259138553
84;69;2-4;2023;21000;13219;64165,55861624582;0,629476190476190522;40390,6913975311254
84;69;2-4;2024;20355;12937;62895,28925416085;0,635568656349791206;39974,2744819984728
84;69;5-17;2019;77159;34479;309784,83641417237;0,446856491141668477;138429,3650089328294
84;69;5-17;2020;57193;27242;311451,97684322216;0,476317031804591451;148349,8811596359301
84;69;5-17;2021;70835;33706;314941,39377545862;0,475838215571398326;149861,1508236833324
84;69;5-17;2022;79549;37961;317707,24205676268;0,477202730392588204;151610,7633749860688
84;69;5-17;2023;75660;35278;317653,82139263640;0,466270155960877619;148112,4968423133250
84;69;5-17;2024;77114;36666;316494,23169348016;0,475477863941696721;150486,0012354844075
84;69;18-64;2019;303162;86391;1127688,16358582769;0,284966453579274470;321353,2967203780427
84;69;18-64;2020;256039;71984;1131919,02315677796;0,281144669366776179;318232,9995153766358
84;69;18-64;2021;287602;84182;1139265,60622454132;0,292703110548605372;333466,5866829658626
84;69;18-64;2022;292665;87925;1148470,75794323743;0,300428817931765013;345033,7122380850487
84;69;18-64;2023;283565;85612;1155949,17860736372;0,301913141607744240;348996,2480522406404
84;69;18-64;2024;303856;87806;1164168,76830651984;0,288972407982728663;336412,6522758223582
84;69;65-79;2019;51141;15194;218367,00000000000;0,297100174028665842;64876,8737021176712
84;69;65-79;2020;46535;14388;223106,00000000000;0,309186633716557413;68981,3931019662559
84;69;65-79;2021;51019;15851;226488,00000000000;0,310688174993629829;70367,1433779572399
