FINESS_Hosp;age_group;RegCode;DepCode;Year;n_Hosp;n;Pop;pHosp;catchmentHosp
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2024;215;9866;14968,37231516136;0,021792012973849584;326,1909636894073
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2024;186;11739;18227,29659062963;0,015844620495783286;288,8045971426110
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2024;133;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2024;126;3543;5718,38243052607;0,035563082133784930;203,3633040491914
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2024;83;5632;9074,77482408992;0,014737215909090910;133,7369159089957
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2024;46;5261;7985,55912303734;0,008743584869796617;69,8224139250556
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2024;33;6608;10300,52174115188;0,004993946731234867;51,4402568792391
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2024;26;2657;4414,13006425872;0,009785472337222430;43,1943476367056
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2024;17;6555;11322,60959433319;0,002593440122044241;29,3645100081868
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2024;16;3559;5074,41019501518;0,004495644844057320;22,8127460298519
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2024;12;2322;3742,09307879034;0,005167958656330750;19,3389823193299
690781810 - HOSPICES CIVILS DE LYON;0-1;84;69;2025;9976;23519;36358,27714826541;0,424167694204685586;15422,0065832346481
690781810 - HOSPICES CIVILS DE LYON;0-1;84;38;2025;994;14786;24320,99347577189;0,067225754091708376;1634,9971266682851
690781810 - HOSPICES CIVILS DE LYON;0-1;84;01;2025;840;7494;13923,07638934579;0,112089671737389915;1560,6330620563731
690781810 - HOSPICES CIVILS DE LYON;0-1;84;26;2025;182;5842;9478,47215736470;0,031153714481342007;295,2896153098895
690781810 - HOSPICES CIVILS DE LYON;0-1;84;74;2025;161;11233;17637,33610682546;0,014332769518383335;252,7918733373897
690781810 - HOSPICES CIVILS DE LYON;0-1;84;42;2025;160;8597;14218,26660341287;0,018611143422123996;264,6181989701128
690781810 - HOSPICES CIVILS DE LYON;0-1;84;07;2025;125;3395;5376,33324309069;0,036818851251840944;197,9504139576838
690781810 - HOSPICES CIVILS DE LYON;0-1;Others;Others;2025;96;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;0-1;27;71;2025;66;4906;8623,42559782863;0,013452914798206279;116,0102098362597
690781810 - HOSPICES CIVILS DE LYON;0-1;84;73;2025;44;4690;7643,67699325793;0,009381663113006396;71,7104024953836
690781810 - HOSPICES CIVILS DE LYON;0-1;27;39;2025;23;2589;4163,18707960440;0,008883738895326381;36,9846669876018
690781810 - HOSPICES CIVILS DE LYON;0-1;27;25;2025;20;5579;9752,07216661982;0,003584871840831690;34,9599288998739
690781810 - HOSPICES CIVILS DE LYON;0-1;84;63;2025;20;5880;10681,56770826611;0,003401360544217687;36,3318629532861
690781810 - HOSPICES CIVILS DE LYON;0-1;84;43;2025;19;2016;3577,27359039684;0,009424603174603174;33,7143840364782
690781810 - HOSPICES CIVILS DE LYON;0-1;84;03;2025;14;3041;4871,94138929384;0,004603748766853009;22,4291941631417
690781810 - HOSPICES CIVILS DE LYON;0-1;27;21;2025;14;5135;8984,13091615273;0,002726387536514119;24,4942225562100
690781810 - HOSPICES CIVILS DE LYON;0-1;93;84;2025;12;6681;10056,56850345068;0,001796138302649304;18,0629878822644
690781810 - HOSPICES CIVILS DE LYON;2-4;84;69;2016;1387;2569;74242,76635710923;0,539898793304787850;40083,5799678125695
690781810 - HOSPICES CIVILS DE LYON;2-4;84;38;2016;241;2221;47045,26636535581;0,108509680324178293;5104,8668140705768
690781810 - HOSPICES CIVILS DE LYON;2-4;84;01;2016;225;1426;24400,45518191709;0,157784011220196363;3850,0016942015050
690781810 - HOSPICES CIVILS DE LYON;2-4;Others;Others;2016;86;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;2-4;84;74;2016;84;1733;31136,84469332000;0,048470859780727064;1509,2296331441894
690781810 - HOSPICES CIVILS DE LYON;2-4;84;26;2016;79;1109;18430,89868134382;0,071235347159603252;1312,9314660290008
690781810 - HOSPICES CIVILS DE LYON;2-4;27;71;2016;62;954;17377,26767842559;0,064989517819706494;1129,3402474448499
690781810 - HOSPICES CIVILS DE LYON;2-4;84;07;2016;52;597;10246,45448920362;0,087102177554438859;892,4884982220908
690781810 - HOSPICES CIVILS DE LYON;2-4;84;42;2016;47;1589;27628,61424425332;0,029578351164254248;817,2088542982418
690781810 - HOSPICES CIVILS DE LYON;2-4;84;73;2016;16;903;14416,33830168151;0,017718715393133997;255,4389953786313
690781810 - HOSPICES CIVILS DE LYON;2-4;84;43;2016;14;415;7037,86373336384;0,033734939759036145;237,4219090773343
690781810 - HOSPICES CIVILS DE LYON;2-4;84;63;2016;13;840;20571,79371397105;0,015476190476190477;318,3729979543139
690781810 - HOSPICES CIVILS DE LYON;2-4;84;69;2017;1491;2603;74062,39263780197;0,572800614675374575;42422,9840272619040
690781810 - HOSPICES CIVILS DE LYON;2-4;84;38;2017;247;2105;46569,77207810238;0,117339667458432301;5464,4815692595193
690781810 - HOSPICES CIVILS DE LYON;2-4;84;01;2017;232;1317;24326,30110069039;0,176157934700075930;4285,2709607898032
690781810 - HOSPICES CIVILS DE LYON;2-4;Others;Others;2017;90;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;2-4;84;74;2017;84;1723;31163,83130780781;0,048752176436448053;1519,3046023539503
690781810 - HOSPICES CIVILS DE LYON;2-4;84;07;2017;68;588;9906,18821239577;0,115646258503401364;1145,6136027940690
690781810 - HOSPICES CIVILS DE LYON;2-4;84;26;2017;62;1109;18024,37333164397;0,055906221821460773;1007,6746136717098
690781810 - HOSPICES CIVILS DE LYON;2-4;27;71;2017;59;918;16980,80848957674;0,064270152505446626;1091,3591512908795
690781810 - HOSPICES CIVILS DE LYON;2-4;84;42;2017;52;1576;27409,08623449584;0,032994923857868022;904,3607133209289
690781810 - HOSPICES CIVILS DE LYON;2-4;84;73;2017;24;869;14203,90639953201;0,027617951668584578;392,2828004473743
690781810 - HOSPICES CIVILS DE LYON;2-4;84;43;2017;15;361;6844,28665989125;0,041551246537396121;284,3886423777528
690781810 - HOSPICES CIVILS DE LYON;2-4;27;21;2017;11;777;17033,63166580851;0,014157014157014158;241,1453646382157
690781810 - HOSPICES CIVILS DE LYON;2-4;84;69;2018;1446;2519;73484,69620327062;0,574037316395395014;42182,9578046563402
690781810 - HOSPICES CIVILS DE LYON;2-4;84;38;2018;247;2025;45938,55110119541;0,121975308641975311;5603,3689491334644
690781810 - HOSPICES CIVILS DE LYON;2-4;84;01;2018;194;1224;24188,42017631734;0,158496732026143783;3833,7855508215398
690781810 - HOSPICES CIVILS DE LYON;2-4;84;74;2018;95;1633;30615,85403346823;0,058175137783221066;1781,0815267479984
690781810 - HOSPICES CIVILS DE LYON;2-4;84;26;2018;82;988;17734,52331113721;0,082995951417004055;1471,8936351348698
690781810 - HOSPICES CIVILS DE LYON;2-4;84;42;2018;55;1560;26842,10600473889;0,035256410256410256;946,3563014491275
690781810 - HOSPICES CIVILS DE LYON;2-4;27;71;2018;53;911;16424,29670429364;0,058177826564215149;955,5298851016058
690781810 - HOSPICES CIVILS DE LYON;2-4;Others;Others;2018;47;NA;NA;NA;NA
690781810 - HOSPICES CIVILS DE LYON;2-4;84;07;2018;44;519;9711,92394673479;0,084778420038535640;823,3615677385944
690781810 - HOSPICES CIVILS DE LYON;2-4;84;73;2018;25;816;14121,39958695750;0,030637254901960783;432,6409187180608
690781810 - HOSPICES CIVILS DE LYON;2-4;84;63;2018;22;784;20629,45330577889;0,028061224489795918;578,8877203152241
690781810 - HOSPICES CIVILS DE LYON;2-4;27;39;2018;17;640;8043,52360330927;0,026562499999999999;213,6560957129026
690781810 - HOSPICES CIVILS DE LYON;2-4;27;21;2018;15;812;16740,62196306189;0,018472906403940888;309,2479426673994
690781810 - HOSPICES CIVILS DE LYON;2-4;84;43;2018;12;384;6776,37631186216;0,031250000000000000;211,7617597456924
690781810 - HOSPICES CIVILS DE LYON;2-4;27;25;2018;11;1187;19287,22492178367;0,009267059814658803;178,7358670089473
690781810 - HOSPICES CIVILS DE LYON;2-4;84;69;2019;1542;2629;73352,73264639871;0,586534804108025831;43023,9306735438586
